nom site;Polluant;valeur brute;Latitude;Longitude
TALENCE;PM10;15.531709370864961;44.800556;-0.588056
BORDEAUX-BASTIDE;PM10;16.80659557204127;44.849724;-0.543889
MERIGNAC;PM10;17.435549781504672;44.84139;-0.65
BASSENS;PM10;16.627025089605688;44.900276;-0.514722
BILLERE;PM10;13.151946542707739;43.310833;-0.391111
HAMEAU;PM10;19.16631799163183;43.307777;-0.322778
SAINT-CROUTS;PM10;15.170733386893133;43.47972;-1.488056
ANGLET;PM10;23.215896129110586;43.494031;-1.528765
LABASTIDE CEZERACQ;PM10;13.846037059175083;43.376276;-0.538192
TARTAS Pelletrin;PM10;15.658793621446735;43.838333;-0.810833
PERIGUEUX;PM10;13.12341351660941;45.18972;0.727222
DAX;PM10;17.528814753905895;43.704723;-1.038611
PAU TOURASSE;PM10;17.448273871377424;43.31109;-0.352119
MARMANDE;PM10;17.086606324472896;44.508656;0.142503
MONT DE MARSAN;PM10;17.45451084448548;43.8961;-0.491403
Biarritz-hippodrome;PM10;20.817950563954902;43.47024;-1.553843
Bordeaux_GAUTIER;PM10;22.022302831734113;44.83383;-0.59853
Chalon Centre Ville;PM10;15.13539551357735;46.782311;4.847322
Champforgueil;PM10;14.028116555046378;46.821056;4.835083
Montceau-les-Mines;PM10;15.253902381513859;46.678785;4.366893
Macon Paul Bert;PM10;13.58218518518516;46.316172;4.839994
PASTEUR;PM10;13.328454629203097;45.56472;5.928333
CHAMBERY LE HAUT;PM10;15.59037627476262;45.59667;5.918611
Chambéry Trafic;PM10;17.351734034919833;45.56943;5.932986
SAINT JEAN;PM10;15.03232218775134;45.274723;6.349722
Maurienne Trafic;PM10;11.37786020632899;45.209364;6.480326
CHAMONIX;PM10;15.618410427961676;45.9225;6.87
Albertville;PM10;14.913594987587206;45.675;6.389722
La Léchère;PM10;19.352434003390677;45.53583;6.471111
LOVERCHY;PM10;17.351708612329773;45.89528;6.118333
NOVEL;PM10;15.60500466635558;45.916943;6.135556
ANNECY Rocade;PM10;21.409841827768073;45.9097;6.11825
ANNEMASSE;PM10;17.74875342644564;46.19583;6.240556
GAILLARD;PM10;15.314720870975224;46.19369;6.214858
ANNEMASSE TRAFIC;PM10;19.748685796961638;46.1908111;6.23553611111111
PASSY;PM10;20.039289276807917;45.92361;6.713611
BOSSONS;PM10;17.1139432775602;45.907223;6.845833
St Germain/Rhône;PM10;12.478617896158136;46.072224;5.820833
Bourg-en-Bresse;PM10;13.664447526583416;46.211666;5.226389
Gambetta;PM10;18.74533146591969;47.907083;1.901139
Montargis;PM10;12.959264913104782;47.997889;2.7195
La Bruyère;PM10;15.70987317766983;47.419083;0.682944
Pompidou;PM10;17.29974424552426;47.394639;0.704861
La_Source-CNRS;PM10;11.80095105543957;47.83775;1.944667
Bourges-Baffier;PM10;15.110267034990775;47.075044;2.407183
Leblanc;PM10;13.896828143021915;47.082778;2.405333
Fulbert;PM10;14.642273985239846;48.444417;1.510139
Dreux Centre;PM10;12.124125381544989;48.729694;1.358472
Saint-Remy;PM10;17.967091245947174;48.760889;1.233639
Chateauroux Sud;PM10;14.977983899195014;46.798278;1.693139
Blois nord;PM10;14.19442208165611;47.594256;1.302667
ST JUNIEN - Fontaine;PM10;13.595559958046858;45.89;0.9
LIMOGES - Présidial;PM10;5.000000000000001;45.8311;1.256875
BRIVE - Dalton;PM10;14.924567993989502;45.158745;1.537222
GUERET - Nicolas;PM10;11.883119330898802;46.17;1.87
TULLE - Hugo;PM10;12.678619609732577;45.26;1.76
PALAIS S/ V.- Garros;PM10;11.372722891566264;45.869995;1.31
LIMOGES - Aine;PM10;16.12702811785289;45.829953;1.254846
SAILLAT - Ipaper;PM10;18.24229780271159;45.87583;0.823889
LIMOGES - BERLAND;PM10;13.209176128861877;45.84222;1.25967
Valence Périurb. Sud;PM10;16.59970529293882;44.870243;4.876289
Valence Urb. Centre;PM10;16.287084772787633;44.933514;4.893481
Romans-sur-Isère;PM10;16.596637897719948;45.0425;5.0443
Drôme Rurale Sud-SND;PM10;8.119184737528162;44.569443;5.278972
A7 Valence Est;PM10;18.581945722171145;44.9492;4.890133
AJACCIO CANETTO;PM10;17.082317497103052;41.924694;8.735694
BASTIA GIRAUD;PM10;18.147651966626952;42.697917;9.446417
AJACCIO PIATANICCIA;PM10;22.705861501455868;41.958028;8.820278
BASTIA LA MARANA;PM10;19.070352623172337;42.535833;9.475972
BASTIA SAINT NICOLAS;PM10;13.228571428571431;42.700083;9.451722
AJACCIO DIAMANT;PM10;15.327272727272726;41.918306;8.736778
VENACO;PM10;9.15534177820266;42.236028;9.190028
AJACCIO ABBATUCCI;PM10;26.813484866329055;41.92575;8.738278
BASTIA FANGO;PM10;17.2178175818996;42.702833;9.446389
Strasbourg Neudorf Ecoquartier Danube;PM10;19.946124401913895;48.572808;7.767833
Besancon Prevoyance;PM10;14.791599353796466;47.2474;6.015419
Montbéliard centre;PM10;16.678218397488138;47.510307;6.794
Belfort Octroi;PM10;15.162611931619898;47.640667;6.859278
Montandon Baresans;PM10;11.237795368619997;47.29464;6.825861
Dole centre;PM10;14.457209194334855;47.09672;5.496389
Chatenois;PM10;12.810946024376056;47.14725;5.556117
Lons-le-Saunier CV;PM10;12.753859567542438;46.671307;5.556806
Vesoul Pres Caillet;PM10;14.769403680409996;47.62;6.157611
Baume-les-Dames;PM10;16.426412249159053;47.351288;6.359722
